From,To,Televoting points
it,pl,0
me,am,10
me,hu,7
nl,am,2
nl,pl,0
nl,ua,3
pl,se,0
rs,hu,0
rs,mt,10
ru,fr,7
ru,ua,0
se,az,10
se,pl,0
si,ru,0
sm,it,10
ua,be,10
at,ru,3
az,hu,4
az,mt,6
ba,fr,7
ba,ru,5
be,bg,6
de,au,6
dk,lt,5
hu,se,4
lv,au,5
mk,au,8
mk,hr,6
no,pl,1
pl,lv,6
ru,cy,4
se,fr,8
al,bg,4
am,cy,6
at,pl,0
be,pl,0
ch,rs,0
cy,bg,0
cz,ua,0
de,il,12
de,ru,0
ee,ru,0
es,au,8
es,bg,0
es,ru,4
fi,ua,0
fr,it,12
gb,ge,12
ge,am,0
gr,au,7
hu,ua,0
ie,be,12
ie,lt,0
it,es,12
it,fr,7
md,am,5
me,mt,12
nl,se,10
no,it,12
rs,au,6
rs,bg,4
si,bg,10
ua,ru,0
am,mt,8
au,fr,6
ba,au,10
bg,au,8
ch,au,12
cy,fr,7
cz,hu,10
de,ua,7
gb,bg,5
ge,lv,7
mt,gb,12
no,bg,8
rs,ru,1
ua,lv,8
al,ru,7
am,ru,2
ba,hr,4
be,nl,4
ch,at,4
cz,se,12
dk,nl,7
ee,au,10
fr,am,2
gb,au,8
hr,rs,2
hr,ru,6
il,bg,7
lt,ge,10
mt,ru,4
nl,at,8
no,lt,2
se,ru,6
at,au,12
at,se,8
cy,au,10
dk,ua,12
ee,lv,8
ee,ua,7
fi,au,8
fr,bg,10
gb,ua,10
hu,au,12
ie,bg,10
il,au,10
is,ru,8
lv,se,8
md,au,10
mt,au,3
mt,it,8
ua,lt,12
az,bg,8
be,au,12
be,fr,8
cy,am,8
dk,be,8
dk,se,4
fr,at,8
gb,lt,4
nl,be,4
ru,az,10
by,ua,7
es,fr,7
hr,au,12
lt,au,12
nl,au,12
pl,au,10
si,rs,5
sm,ru,7
ua,az,7
al,it,8
am,ge,10
au,bg,8
bg,ru,6
de,se,10
es,am,12
gr,am,10
is,au,10
is,nl,12
is,se,6
lt,ua,8
lv,lt,10
me,rs,6
me,ru,8
mk,ua,12
mt,bg,10
no,au,10
am,fr,12
ba,ua,12
lt,lv,7
lv,ru,7
md,ru,7
mk,rs,7
rs,ua,12
si,ua,12
az,ua,10
ba,rs,8
bg,am,12
dk,au,10
gr,cy,8
il,fr,8
il,ua,12
mk,bg,10
cy,ru,12
ee,se,12
fi,se,12
ge,ua,12
gr,ru,12
it,ua,10
lv,ua,12
md,ua,12
al,au,12
au,be,12
az,ru,12
by,ru,12
pl,ua,12
ru,am,12
se,au,12
sm,ua,12
